"time","value"
2026-02-05 12:04:55,25.86 Hz
2026-02-05 12:05:06,20.91 Hz
2026-02-05 12:05:17,25.08 Hz
2026-02-05 12:05:28,26.53 Hz
2026-02-05 12:05:39,21.82 Hz
2026-02-05 12:05:50,32.17 Hz
2026-02-05 12:06:01,39.68 Hz
2026-02-05 12:06:12,43.47 Hz
2026-02-05 12:06:24,44.77 Hz
2026-02-05 12:06:35,46.97 Hz
2026-02-05 12:06:46,44.88 Hz
2026-02-05 12:06:58,42.20 Hz
2026-02-05 12:07:09,42.18 Hz
2026-02-05 12:07:20,50.78 Hz
2026-02-05 12:07:31,50.08 Hz
2026-02-05 12:07:42,47.03 Hz
2026-02-05 12:07:53,50.60 Hz
2026-02-05 12:08:04,52.42 Hz
2026-02-05 12:08:15,47.65 Hz
2026-02-05 12:08:26,47.01 Hz
2026-02-05 12:08:37,48.26 Hz
2026-02-05 12:08:49,55.85 Hz
2026-02-05 12:09:00,45.62 Hz
2026-02-05 12:09:12,45.52 Hz
2026-02-05 12:09:23,50.15 Hz
2026-02-05 12:09:34,47.92 Hz
2026-02-05 12:09:45,47.71 Hz
2026-02-05 12:09:56,34.86 Hz
2026-02-05 12:10:07,41.42 Hz
2026-02-05 12:10:19,34.32 Hz
2026-02-05 12:10:31,40.71 Hz
2026-02-05 12:10:42,43.43 Hz
2026-02-05 12:10:54,51.50 Hz
2026-02-05 12:11:06,45.29 Hz
2026-02-05 12:11:17,51.38 Hz
2026-02-05 12:11:28,47.37 Hz
2026-02-05 12:11:39,45.38 Hz
2026-02-05 12:11:50,48.71 Hz
2026-02-05 12:12:01,47.76 Hz
2026-02-05 12:12:13,34.87 Hz
2026-02-05 12:12:25,49.90 Hz
2026-02-05 12:12:36,45.63 Hz
2026-02-05 12:12:47,46.88 Hz
2026-02-05 12:12:58,43.20 Hz
2026-02-05 12:13:10,45.76 Hz
2026-02-05 12:13:21,36.68 Hz
2026-02-05 12:13:33,30.44 Hz
2026-02-05 12:13:44,31.57 Hz
2026-02-05 12:13:55,47.97 Hz
2026-02-05 12:14:06,54.82 Hz
2026-02-05 12:14:17,41.19 Hz
2026-02-05 12:14:28,43.48 Hz
2026-02-05 12:14:39,38.71 Hz
2026-02-05 12:14:50,48.64 Hz
2026-02-05 12:15:01,46.99 Hz
2026-02-05 12:15:13,42.10 Hz
2026-02-05 12:15:24,42.91 Hz
2026-02-05 12:15:35,33.29 Hz
2026-02-05 12:15:46,42.05 Hz
2026-02-05 12:15:57,37.45 Hz
2026-02-05 12:16:08,51.98 Hz
2026-02-05 12:16:19,44.53 Hz
2026-02-05 12:16:30,39.43 Hz
2026-02-05 12:16:41,44.09 Hz
2026-02-05 12:16:52,46.58 Hz
2026-02-05 12:17:03,42.92 Hz
2026-02-05 12:17:14,47.68 Hz
2026-02-05 12:17:25,56.17 Hz
2026-02-05 12:17:36,31.05 Hz
2026-02-05 12:17:47,186.28 Hz
2026-02-05 12:17:58,315.50 Hz
2026-02-05 12:18:10,310.87 Hz
2026-02-05 12:18:21,318.11 Hz
2026-02-05 12:18:33,313.26 Hz
2026-02-05 12:18:44,320.35 Hz
2026-02-05 12:18:55,310.47 Hz
2026-02-05 12:19:06,334.92 Hz
