LECROYHDO6054B,10519,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,05-Feb-2026 14:48:49,0                 
Time,Ampl
-0.057,0
-0.056,0
-0.055,0
-0.054,0
-0.053,0
-0.052,0
-0.051,0
-0.05,0
-0.049,0
-0.048,0
-0.047,0
-0.046,0
-0.045,0
-0.044,0
-0.043,0
-0.042,0
-0.041,0
-0.04,0
-0.039,0
-0.038,0
-0.037,0
-0.036,0
-0.035,0
-0.034,0
-0.033,0
-0.032,0
-0.031,0
-0.03,0
-0.029,0
-0.028,0
-0.027,0
-0.026,0
-0.025,0
-0.024,0
-0.023,0
-0.022,0
-0.021,0
-0.02,0
-0.019,0
-0.018,0
-0.017,0
-0.016,0
-0.015,0
-0.014,0
-0.013,0
-0.012,0
-0.011,0
-0.01,0
-0.009,0
-0.008,0
-0.007,0
-0.006,0
-0.005,0
-0.004,0
-0.003,0
-0.002,0
-0.001,0
4.857e-17,0
0.001,0
0.002,1
0.003,0
0.004,0
0.005,0
0.006,0
0.007,1
0.008,5
0.009,22
0.01,64
0.011,102
0.012,60
0.013,37
0.014,15
0.015,12
0.016,0
0.017,4
0.018,1
0.019,0
0.02,5
0.021,4
0.022,9
0.023,5
0.024,10
0.025,25
0.026,23
0.027,17
0.028,16
0.029,16
0.03,23
0.031,16
0.032,31
0.033,19
0.034,25
0.035,24
0.036,25
0.037,18
0.038,23
0.039,12
0.04,22
0.041,26
0.042,14
0.043,23
0.044,17
0.045,18
0.046,18
0.047,18
0.048,22
0.049,16
0.05,17
0.051,12
0.052,24
0.053,17
0.054,16
0.055,15
0.056,13
0.057,18
0.058,18
0.059,21
0.06,22
0.061,22
0.062,19
0.063,20
0.064,26
0.065,28
0.066,18
0.067,24
0.068,20
0.069,29
0.07,18
0.071,26
0.072,21
0.073,15
0.074,21
0.075,17
0.076,25
0.077,26
0.078,25
0.079,23
0.08,25
0.081,29
0.082,33
0.083,20
0.084,19
0.085,18
0.086,21
0.087,26
0.088,26
0.089,28
0.09,47
0.091,25
0.092,31
0.093,23
0.094,22
0.095,23
0.096,32
0.097,31
0.098,29
0.099,34
0.1,26
0.101,21
0.102,16
0.103,34
0.104,33
0.105,31
0.106,33
0.107,29
0.108,23
0.109,22
0.11,34
0.111,30
0.112,30
0.113,33
0.114,26
0.115,37
0.116,36
0.117,25
0.118,29
0.119,31
0.12,19
0.121,23
0.122,18
0.123,30
0.124,32
0.125,34
0.126,37
0.127,35
0.128,26
0.129,30
0.13,41
0.131,28
0.132,33
0.133,23
0.134,21
0.135,28
0.136,26
0.137,39
0.138,32
0.139,34
0.14,36
0.141,32
0.142,36
0.143,30
0.144,34
0.145,36
0.146,31
0.147,36
0.148,24
0.149,24
0.15,29
0.151,26
0.152,42
0.153,28
0.154,33
0.155,26
0.156,34
0.157,40
0.158,25
0.159,32
0.16,40
0.161,31
0.162,35
0.163,15
0.164,28
0.165,48
0.166,27
0.167,31
0.168,27
0.169,30
0.17,22
0.171,24
0.172,27
0.173,23
0.174,30
0.175,21
0.176,28
0.177,23
0.178,32
0.179,26
0.18,14
0.181,22
0.182,22
0.183,22
0.184,24
0.185,22
0.186,24
0.187,18
0.188,11
0.189,23
0.19,28
0.191,27
0.192,24
0.193,15
0.194,11
0.195,18
0.196,14
0.197,25
0.198,23
0.199,23
0.2,11
0.201,24
0.202,20
0.203,18
0.204,16
0.205,17
0.206,17
0.207,16
0.208,15
0.209,27
0.21,14
0.211,18
0.212,15
0.213,23
0.214,14
0.215,26
0.216,15
0.217,25
0.218,15
0.219,10
0.22,13
0.221,8
0.222,14
0.223,13
0.224,16
0.225,16
0.226,11
0.227,10
0.228,16
0.229,19
0.23,23
0.231,14
0.232,12
0.233,14
0.234,9
0.235,4
0.236,11
0.237,6
0.238,17
0.239,13
0.24,16
0.241,9
0.242,15
0.243,10
0.244,10
0.245,9
0.246,9
0.247,13
0.248,11
0.249,15
0.25,12
0.251,9
0.252,9
0.253,10
0.254,13
0.255,12
0.256,5
0.257,13
0.258,7
0.259,4
0.26,10
0.261,8
0.262,10
0.263,11
0.264,6
