//x	z	type	rate_i	hour_i	min_i	hour_f	min_f	rate_f	run_number
8.5	9.0	Hole	130	12	21	12	26	240	7
-8.0	-8.5	Grap	130	12	27	12	31	40	8
8.5	9.0	Hole	130	12	32	12	38	250	9
-7.9	-8.5	Grap	130	12	38	12	43	40	10
8.5	9.0	Hole	130	12	56	13	00	265	12
-7.9	-8.4	Grap	130	13	01	13	06	44	13
8.5	9.0	Hole	143	13	07	13	11	250	14
-7.9	-8.6	Grap	143	13	13	13	18	65	15
8.5	9.0	Hole	135	13	19	13	23	270	16
-8.0	-8.4	Grap	133	13	24	13	29	45	17
8.5	9.0	Hole	133	13	41	13	46	140	20
-8.0	-8.6	Grap	133	13	48	13	52	30	21
0	0	Cent	3	13	54	14	00	3	22
8.5	9.0	Hole	133	14	01	14	06	150	23
-8.1	-8.4	Grap	133	14	07	14	11	25	24
8.5	9.0	Hole	143	15	02	15	07	165	29
-8.1	-8.6	Grap	125	15	08	15	13	20	30
8.5	9.0	Hole	130	15	14	15	19	170	31
-8.1	-8.5	Grap		15	22	15	27	15	32
